touraine	Touraine	10	-	|accueil|vin, champagne, alcool|vin|vins de loire	https://www.auchan.fr/vin-champagne-alcool/vin/vins-de-loire/touraine/c-9355437	
vins-du-languedoc-roussillon	Vins du Languedoc	50	-	|accueil|vin, champagne, alcool|vin	https://www.auchan.fr/vin-champagne-alcool/vin/vins-du-languedoc-roussillon/c-9355259	
vins-d-alsace	Vins d'Alsace	32	-	|accueil|vin, champagne, alcool|vin	https://www.auchan.fr/vin-champagne-alcool/vin/vins-d-alsace/c-9345253	
sancerre	Sancerre	1	-	|accueil|vin, champagne, alcool|vin|vins de loire	https://www.auchan.fr/vin-champagne-alcool/vin/vins-de-loire/sancerre/c-180720171334	
vouvray	Vouvray	1	-	|accueil|vin, champagne, alcool|vin|vins de loire	https://www.auchan.fr/vin-champagne-alcool/vin/vins-de-loire/vouvray/c-9355439	
valencay	Valençay	2	-	|accueil|vin, champagne, alcool|vin|vins de loire	https://www.auchan.fr/vin-champagne-alcool/vin/vins-de-loire/valencay/c-9355438	
saumur-champigny	Saumur-Champigny	8	-	|accueil|vin, champagne, alcool|vin|vins de loire	https://www.auchan.fr/vin-champagne-alcool/vin/vins-de-loire/saumur-champigny/c-9355435	
saumur	Saumur	5	-	|accueil|vin, champagne, alcool|vin|vins de loire	https://www.auchan.fr/vin-champagne-alcool/vin/vins-de-loire/saumur/c-9355434	
saint-pourcain	Saint Pourçain	1	-	|accueil|vin, champagne, alcool|vin|vins de loire	https://www.auchan.fr/vin-champagne-alcool/vin/vins-de-loire/saint-pourcain/c-9355433	
saint-nicolas-de-bourgueil	Saint Nicolas de Bourgueil	1	-	|accueil|vin, champagne, alcool|vin|vins de loire	https://www.auchan.fr/vin-champagne-alcool/vin/vins-de-loire/saint-nicolas-de-bourgueil/c-9355432	
sancerre	Sancerre	6	-	|accueil|vin, champagne, alcool|vin|vins de loire	https://www.auchan.fr/vin-champagne-alcool/vin/vins-de-loire/sancerre/c-9355431	
rose-de-loire	Rosé de Loire	3	-	|accueil|vin, champagne, alcool|vin|vins de loire	https://www.auchan.fr/vin-champagne-alcool/vin/vins-de-loire/rose-de-loire/c-9355430	
rose-d-anjou	Rosé d'Anjou	1	-	|accueil|vin, champagne, alcool|vin|vins de loire	https://www.auchan.fr/vin-champagne-alcool/vin/vins-de-loire/rose-d-anjou/c-9355429	
reuilly	Reuilly	1	-	|accueil|vin, champagne, alcool|vin|vins de loire	https://www.auchan.fr/vin-champagne-alcool/vin/vins-de-loire/reuilly/c-9355428	
pouilly-fume	Pouilly-Fumé	2	-	|accueil|vin, champagne, alcool|vin|vins de loire	https://www.auchan.fr/vin-champagne-alcool/vin/vins-de-loire/pouilly-fume/c-9355425	
muscadet	Muscadet	4	-	|accueil|vin, champagne, alcool|vin|vins de loire	https://www.auchan.fr/vin-champagne-alcool/vin/vins-de-loire/muscadet/c-9355424	
autres-effervescents	Autres Effervescents	20	-	|accueil|vin, champagne, alcool|champagne et vin effervescent|vins pétillants et effervescents	https://www.auchan.fr/vin-champagne-alcool/champagne-et-vin-effervescent/vins-petillants-et-effervescents/autres-effervescents/c-9726860	
vins-petillants-et-effervescents	Vins effervescents	31	-	|accueil|vin, champagne, alcool|champagne et vin effervescent	https://www.auchan.fr/vin-champagne-alcool/champagne-et-vin-effervescent/vins-petillants-et-effervescents/c-9355265	
