esprit-de-pavie-2011	|accueil|vins|france|bordeaux|bordeaux	Esprit de Pavie 2011	https://grandsvins.carrefour.fr/product/esprit-de-pavie-2011	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505934458/gr8sebqvhus5u200lbz1.png	
piccini-2011	|accueil|vins|italie	Piccini 2011	https://grandsvins.carrefour.fr/product/piccini-2011	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505935641/zp4tbqgxvj3y86afoazy.png	
domaine-des-herbauges-reflets-de-france-2015	|accueil|vins|france|val de loire|muscadet	Domaine des Herbauges "Reflets de France" 2015	https://grandsvins.carrefour.fr/product/domaine-des-herbauges-reflets-de-france-2015	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505935514/bhir8advwbev3kfhw9xr.png	
clotilde-davenne-2016	|accueil|vins|france|bourgogne & beaujolais|saint-bris	Clotilde Davenne "Reflets de France" 2016	https://grandsvins.carrefour.fr/product/clotilde-davenne-2016	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505934383/uyr3hjit9tor66klbbdp.png	
canti-16	|accueil|vins|italie	Canti 2016	https://grandsvins.carrefour.fr/product/canti-16	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505935699/f5tiatnphvaiub0az1xa.png	
75-doc-ita-bl-mouss-prosecco-bio-fascino	|accueil|vins|italie	Fascino	https://grandsvins.carrefour.fr/product/75-doc-ita-bl-mouss-prosecco-bio-fascino	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1511879542/ahj4qm1c7ro2w8u7nf5e.png	
wolfberger-bio	|accueil|vins|france|alsace|crémant d'alsace	Wolfberger Bio	https://grandsvins.carrefour.fr/product/wolfberger-bio	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1511880826/htdu5toruxdzvuvoq4gm.png	
champagne-rose-majeur-ayala	|accueil|vins|france|champagne|champagne|champagne rosé	Ayala Rosé Majeur 	https://grandsvins.carrefour.fr/product/champagne-rose-majeur-ayala	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1513005999/ndqsnc23w148bynnnafc.png	
alentejo-vin-du-portugal-rouge-monte-velho-2016	|accueil|vins|portugal	Herdade do Esporao - Monte Velho - 2016	https://grandsvins.carrefour.fr/product/alentejo-vin-du-portugal-rouge-monte-velho-2016	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1509088145/bhprn3jfwhimwdajy6g4.png	
col-de-la-serre-rouge-2016	|accueil|vins|france|languedoc-roussillon|saint-chinian	Col de la Serre 2016	https://grandsvins.carrefour.fr/product/col-de-la-serre-rouge-2016	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1509285415/oeel3lucaegnhvbrtohw.png	
schiste-rose-2016	|accueil|vins|france|val de loire|igp val de loire	Schiste Rosé 2016	https://grandsvins.carrefour.fr/product/schiste-rose-2016	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505935542/ea45xfysk4vnphwtz3mc.png	
domaine-pelaquie-15	|accueil|vins|france|vallée du rhône|côtes du rhône villages	Domaine Pelaquié 2015	https://grandsvins.carrefour.fr/product/domaine-pelaquie-15	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1509286708/asueeovfodr8asrzddt0.png	
arnaud-aucoeur-chapelle-des-bois-rdf-2015	|accueil|vins|france|bourgogne & beaujolais|fleurie	Arnaud Aucoeur La Chapelle des Bois "Reflets de France" 2015	https://grandsvins.carrefour.fr/product/arnaud-aucoeur-chapelle-des-bois-rdf-2015	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1509092633/g9elrvyoa7ew01wggofz.png	
domaine-raphael-sallet-reflets-de-france-2015	|accueil|vins|france|bourgogne & beaujolais|mâcon-uchizy	Domaine Raphaël Sallet "Reflets de France" 2015	https://grandsvins.carrefour.fr/product/domaine-raphael-sallet-reflets-de-france-2015	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505935399/gnwxcrtnbljkwrmlvlm2.png	
chateau-haut-peyraud-bio-2013	|accueil|vins|france|bordeaux|blaye cotes de bordeaux	Chateau Haut-Peyraud 2013	https://grandsvins.carrefour.fr/product/chateau-haut-peyraud-bio-2013	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1509092521/kioxtmn3yuty6z7pt4nu.png	
chateau-vieux-gabiran-2015	|accueil|vins|france|bordeaux|bordeaux	Château Vieux Gabiran 2015	https://grandsvins.carrefour.fr/product/chateau-vieux-gabiran-2015	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1509368290/xflyp7dfxwtptzv0imrw.png	
large-malartic-la-cave-d-augustin-florent-2015	|accueil|vins|france|bordeaux|bordeaux	Large Malartic "La Cave d'Augustin Florent" 2015	https://grandsvins.carrefour.fr/product/large-malartic-la-cave-d-augustin-florent-2015	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505934442/ey03ee5zt5ldjxadantc.png	
chateau-picon-reflets-de-france-2015	|accueil|vins|france|bordeaux|bordeaux	Château Picon "Reflets de France" 2015	https://grandsvins.carrefour.fr/product/chateau-picon-reflets-de-france-2015	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505934466/o7ybmeseiwh4qrxhneef.png	
chateau-tartifume-caf-2016	|accueil|vins|france|bordeaux|côtes de bourg	Château Tartifume 2016	https://grandsvins.carrefour.fr/product/chateau-tartifume-caf-2016	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1511879682/qwqcor6jmuer1y4rdwmb.png	
chateau-la-chapelle-maillard	|accueil|vins|france|bordeaux|bordeaux	Château La Chapelle Maillard 2014	https://grandsvins.carrefour.fr/product/chateau-la-chapelle-maillard	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505934452/yva1fo1e9mzasa621yxg.png	
chateau-lion-noir-2012	|accueil|vins|france|bordeaux|côtes de bourg	Château Lion Noir 2012	https://grandsvins.carrefour.fr/product/chateau-lion-noir-2012	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505934471/fo7jmfn13rqhcnfwbhud.png	
frescobaldi-pomino-bianco-16	|accueil|vins|italie	Frescobaldi Pomino Bianco 2016	https://grandsvins.carrefour.fr/product/frescobaldi-pomino-bianco-16	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1511881136/fzfdblaxfmmabdyxlbln.png	
poggio-teo-valiano-2010	|accueil|vins|italie	Poggio Teo Valiano 2010	https://grandsvins.carrefour.fr/product/poggio-teo-valiano-2010	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1511873468/jn8qjoi1web3zglum11e.png	
masi-serego-alighieri-possessioni-15	|accueil|vins|italie	Masi Serego Alighieri Possessioni 2015	https://grandsvins.carrefour.fr/product/masi-serego-alighieri-possessioni-15	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1509092434/el1esmzlaae00dqim9sa.png	
mionetto	|accueil|vins|italie	Mionetto	https://grandsvins.carrefour.fr/product/mionetto	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505935689/tz4dqhuzjurclp5ugidx.png	
champagne-rose-pommery	|accueil|vins|france|champagne|champagne|champagne rosé	Pommery Springtime Rosé 	https://grandsvins.carrefour.fr/product/champagne-rose-pommery	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1509285530/whaprqr2mb0e3j0rqxjn.png	
pommery-rose-champagne	|accueil|vins|france|champagne|champagne|champagne rosé	Pommery Rosé 	https://grandsvins.carrefour.fr/product/pommery-rose-champagne	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505935747/qdat77biqqtnjcxwgja0.png	
villa-sandi-valdo-frizzante	|accueil|vins|italie	Villa Sandi	https://grandsvins.carrefour.fr/product/villa-sandi-valdo-frizzante	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1511879452/nbpmu7ormbtid8w5jntj.png	
les-fiefs-campredon-2015	|accueil|vins|france|languedoc-roussillon|saint-chinian	Les Fiefs de Campredon 2015	https://grandsvins.carrefour.fr/product/les-fiefs-campredon-2015	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1509385063/fvpmj2cretndsplctrzv.png	
pierre-vidal-terris-14	|accueil|vins|france|vallée du rhône|côtes du rhône villages	Pierre Vidal - Terris 2014	https://grandsvins.carrefour.fr/product/pierre-vidal-terris-14	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1509092577/k6o6fnlmuyvhpkoq9xh7.png	
domaine-de-l-obrieu-15	|accueil|vins|france|vallée du rhône|côtes du rhône villages	Domaine de l'Obrieu 2015	https://grandsvins.carrefour.fr/product/domaine-de-l-obrieu-15	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1509353304/zow0wsaql9tp0wwkuqo8.png	
philipponnat-royale-reserve	|accueil|vins|france|champagne|champagne	Philipponnat Royale Réserve	https://grandsvins.carrefour.fr/product/philipponnat-royale-reserve	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505935798/jbrtlijbi2zmjk3fn5rx.png	
dopff-signature-2016-magnum	|accueil|vins|france|alsace|alsace	Dopff Signature Gewurztraminer 2016	https://grandsvins.carrefour.fr/product/dopff-signature-2016-magnum	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1511881097/v3qtxinpcywtefi7x7oe.png	
75-aoc-alsace-pinot-blanc-bio-2015-c6	|accueil|vins|france|alsace|alsace	Domaine Jean Becker 2015	https://grandsvins.carrefour.fr/product/75-aoc-alsace-pinot-blanc-bio-2015-c6	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1509287881/qstopfhlyurboztaxdnq.png	
domaine-jean-becker-schoenenbourg-2015	|accueil|vins|france|alsace|alsace	Domaine Jean Becker Schoenenbourg 2015	https://grandsvins.carrefour.fr/product/domaine-jean-becker-schoenenbourg-2015	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505935501/ypty3ukhfltqyyxkyvcu.png	
domaine-edmond-rentz-les-murets-16	|accueil|vins|france|alsace	Domaine Edmond Rentz "Les Murets" 2016 	https://grandsvins.carrefour.fr/product/domaine-edmond-rentz-les-murets-16	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1511879110/js9jfkogshpbrztv8ucl.png	
chateau-le-virou-vieilles-vignes-2015	|accueil|vins|france|bordeaux|blaye cotes de bordeaux	Château Le Virou Vieilles Vignes 2015	https://grandsvins.carrefour.fr/product/chateau-le-virou-vieilles-vignes-2015	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505934494/ptr97h8jrvxg0xsbtgsi.png	
chateau-haut-lalande	|accueil|vins|france|bordeaux|blaye cotes de bordeaux	Château Haut Lalande 2014	https://grandsvins.carrefour.fr/product/chateau-haut-lalande	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505934489/ooiv1bialumwm1o7itep.png	
cuvee-angelique-2016	|accueil|vins|france|alsace|alsace	Cuvée Angélique 2016	https://grandsvins.carrefour.fr/product/cuvee-angelique-2016	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1514977552/eqoqdatx8w5algcys46r.png	
chateau-le-grand-moulin-2015	|accueil|vins|france|bordeaux|blaye cotes de bordeaux	Château le Grand Moulin 2015	https://grandsvins.carrefour.fr/product/chateau-le-grand-moulin-2015	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505934500/wbat0oxn7hstbjgstfwe.png	
chateau-samonac-reflets-de-france-2014	|accueil|vins|france|bordeaux|côtes de bourg	Château Samonac "Reflets de France" 2014	https://grandsvins.carrefour.fr/product/chateau-samonac-reflets-de-france-2014	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505934477/prity3scela6ztaf5zsf.png	
chateau-laroche-2015	|accueil|vins|france|bordeaux|côtes de bourg	Château Laroche 2015	https://grandsvins.carrefour.fr/product/chateau-laroche-2015	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505934484/lslig3zhthvc3pjzlaks.png	
cote-rotie-guigal-2012	|accueil|vins|france|vallée du rhône|côte rôtie	Maison Guigal - Brune & Blonde 2012	https://grandsvins.carrefour.fr/product/cote-rotie-guigal-2012	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505935266/sbortvah3j7y4xvs8ey7.png	
cote-rotie-guigal-13	|accueil|vins|france|vallée du rhône|côte rôtie	Maison Guigal - Brune & Blonde 2013	https://grandsvins.carrefour.fr/product/cote-rotie-guigal-13	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1513677685/drajdovj8mjrid7lxmrl.png	
parallele-45-jaboulet-2015	|accueil|vins|france|vallée du rhône|côtes du rhône	Parallèle 45 Jaboulet 2015	https://grandsvins.carrefour.fr/product/parallele-45-jaboulet-2015	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505935251/luqpikuvzotqbpecu35o.png	
gigondas-guigal-2013	|accueil|vins|france|vallée du rhône|gigondas	Maison Guigal 2013	https://grandsvins.carrefour.fr/product/gigondas-guigal-2013	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1509287333/wifvtcsmrnrzqfnc56du.png	
le-haut-des-dentelles-13	|accueil|vins|france|vallée du rhône|gigondas	Le Haut des Dentelles 2013	https://grandsvins.carrefour.fr/product/le-haut-des-dentelles-13	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1511877980/zkmfgpt7mcy0cmhfq7hq.png	
tardieu-laurent-la-grande-bastide	|accueil|vins|france|vallée du rhône|vacqueyras	Tardieu-Laurent "La Grande Bastide"	https://grandsvins.carrefour.fr/product/tardieu-laurent-la-grande-bastide	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505935304/h6id3n8i7zkrjdqaxx8w.png	
domaine-la-reverie-reflets-de-france-2016	|accueil|vins|france|vallée du rhône|vacqueyras	Domaine La Reverie "Reflets de France" 2016	https://grandsvins.carrefour.fr/product/domaine-la-reverie-reflets-de-france-2016	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505935293/lshf4gpjbfpjt4bjtr0x.png	
paul-jaboulet-aine-domaine-de-thalabert-11	|accueil|vins|france|vallée du rhône|crozes-hermitage	Paul Jaboulet Ainé - Domaine de Thalabert 2011	https://grandsvins.carrefour.fr/product/paul-jaboulet-aine-domaine-de-thalabert-11	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1509287482/cmstaycushcgmqnnqr8f.png	
domaine-de-la-solitude-2016	|accueil|vins|france|vallée du rhône|châteauneuf-du-pape	Domaine de la Solitude 2016	https://grandsvins.carrefour.fr/product/domaine-de-la-solitude-2016	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1511881181/f4grxidkfzwkj54ahoaj.png	
condrieu-2015	|accueil|vins|france|vallée du rhône|condrieu	François Villard - Les Terrasses du Palat  2015	https://grandsvins.carrefour.fr/product/condrieu-2015	-	https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505935256/xahzawqphirr7dovn4rl.png	
