esprit-de-pavie-2011	1	Cépages	Cabernet Franc (20%), Cabernet Sauvignon (15%), Merlot (65%)		
esprit-de-pavie-2011	2	Propriétaire/Domaine	Esprit de Pavie		
esprit-de-pavie-2011	3	Millésime	2011		
esprit-de-pavie-2011	4	Région	Bordeaux		
esprit-de-pavie-2011	5	Pays	France		
esprit-de-pavie-2011	6	Type	Vin		
esprit-de-pavie-2011	7	Couleur	Rouge		
esprit-de-pavie-2011	8	Contenance (cl)	75 cl		
esprit-de-pavie-2011	9	Degré d'alcool	14°		
esprit-de-pavie-2011	10	Appellation	Bordeaux		
esprit-de-pavie-2011	11	Producteur	Vignobles Gérard Perse		
piccini-2011	1	Cépages	Sangiovese - Cabernet		
piccini-2011	2	Propriétaire/Domaine	Piccini Chianti Classico		
piccini-2011	3	Millésime	2011		
piccini-2011	4	Région	Vins du Monde		
piccini-2011	5	Pays	Italie		
piccini-2011	6	Type	Vin		
piccini-2011	7	Couleur	Rouge		
piccini-2011	8	Contenance (cl)	75 cl		
piccini-2011	9	Degré d'alcool	13°		
piccini-2011	10	Appellation	Italie - Chianti Classico Riserva		
piccini-2011	11	Producteur	Famille Piccini		
domaine-des-herbauges-reflets-de-france-2015	1	Cépages	Melon de Bourgogne		
domaine-des-herbauges-reflets-de-france-2015	2	Propriétaire/Domaine	Domaine des Herbauges		
domaine-des-herbauges-reflets-de-france-2015	3	Millésime	2015		
domaine-des-herbauges-reflets-de-france-2015	4	Région	Val de Loire		
domaine-des-herbauges-reflets-de-france-2015	5	Pays	France		
domaine-des-herbauges-reflets-de-france-2015	6	Type	Vin		
domaine-des-herbauges-reflets-de-france-2015	7	Couleur	Blanc		
domaine-des-herbauges-reflets-de-france-2015	8	Contenance (cl)	75 cl		
domaine-des-herbauges-reflets-de-france-2015	9	Degré d'alcool	12°		
domaine-des-herbauges-reflets-de-france-2015	10	Appellation	Muscadet Côtes de Grandlieu		
domaine-des-herbauges-reflets-de-france-2015	11	Producteur	Jérôme Choblet		
clotilde-davenne-2016	1	Cépages	Sauvignon blanc		
clotilde-davenne-2016	2	Propriétaire/Domaine	Clotilde Davenne		
clotilde-davenne-2016	3	Millésime	2016		
clotilde-davenne-2016	4	Région	Bourgogne		
clotilde-davenne-2016	5	Pays	France		
clotilde-davenne-2016	6	Type	Vin		
clotilde-davenne-2016	7	Couleur	Blanc		
clotilde-davenne-2016	8	Contenance (cl)	75 cl		
clotilde-davenne-2016	9	Degré d'alcool	12.5°		
clotilde-davenne-2016	10	Appellation	Saint-Bris		
clotilde-davenne-2016	11	Producteur	Clotilde Davenne		
canti-16	1	Cépages	Glera (100%)		
canti-16	2	Propriétaire/Domaine	Fratelli Martini Secondo Luigi		
canti-16	3	Millésime	2016		
canti-16	4	Région	Vins du Monde		
canti-16	5	Pays	Italie		
canti-16	6	Type	Effervescent		
canti-16	7	Couleur	Blanc		
canti-16	8	Contenance (cl)	75 cl		
canti-16	9	Degré d'alcool	11%		
canti-16	10	Appellation	Italie - Prosecco		
canti-16	11	Producteur	Fratelli Martini Secondo Luigi		
75-doc-ita-bl-mouss-prosecco-bio-fascino	1	Cépages	Gléra		
75-doc-ita-bl-mouss-prosecco-bio-fascino	2	Propriétaire/Domaine	Fascino		
75-doc-ita-bl-mouss-prosecco-bio-fascino	3	Région	Vins du Monde		
75-doc-ita-bl-mouss-prosecco-bio-fascino	4	Pays	Italie		
75-doc-ita-bl-mouss-prosecco-bio-fascino	5	Type	Effervescent		
75-doc-ita-bl-mouss-prosecco-bio-fascino	6	Couleur	Blanc		
75-doc-ita-bl-mouss-prosecco-bio-fascino	7	Contenance (cl)	75 cl		
75-doc-ita-bl-mouss-prosecco-bio-fascino	8	Appellation	Italie - Prosecco		
wolfberger-bio	1	Cépages	Chardonnay, Riesling, Pinot Blanc		
wolfberger-bio	2	Propriétaire/Domaine	Wolfberger		
wolfberger-bio	3	Région	Alsace		
wolfberger-bio	4	Pays	France		
wolfberger-bio	5	Type	Effervescent		
wolfberger-bio	6	Couleur	Blanc		
wolfberger-bio	7	Contenance (cl)	75 cl		
wolfberger-bio	8	Degré d'alcool	12%		
wolfberger-bio	9	Appellation	Crémant d'Alsace		
wolfberger-bio	10	Producteur	Wolfberger		
champagne-rose-majeur-ayala	1	Cépages	Chardonnay (50%), Pinot noir (40%), Pinot Meunier (10%)		
champagne-rose-majeur-ayala	2	Propriétaire/Domaine	Ayala		
champagne-rose-majeur-ayala	3	Région	Champagne		
champagne-rose-majeur-ayala	4	Pays	France		
champagne-rose-majeur-ayala	5	Type	Vin		
champagne-rose-majeur-ayala	6	Couleur	Rosé		
champagne-rose-majeur-ayala	7	Contenance (cl)	75 cl		
champagne-rose-majeur-ayala	8	Degré d'alcool	12%		
champagne-rose-majeur-ayala	9	Appellation	Champagne Rosé		
champagne-rose-majeur-ayala	10	Producteur	Maison Ayala		
alentejo-vin-du-portugal-rouge-monte-velho-2016	1	Millésime	2016		
alentejo-vin-du-portugal-rouge-monte-velho-2016	2	Région	Vins du Monde		
alentejo-vin-du-portugal-rouge-monte-velho-2016	3	Pays	Portugal		
alentejo-vin-du-portugal-rouge-monte-velho-2016	4	Type	Vin		
alentejo-vin-du-portugal-rouge-monte-velho-2016	5	Couleur	Rouge		
alentejo-vin-du-portugal-rouge-monte-velho-2016	6	Contenance (cl)	75 cl		
alentejo-vin-du-portugal-rouge-monte-velho-2016	7	Degré d'alcool	13%		
alentejo-vin-du-portugal-rouge-monte-velho-2016	8	Appellation	Portugal - Alentejo		
col-de-la-serre-rouge-2016	1	Cépages	Grenache (20%), Syrah (20%), Mourvèdre (60%)		
col-de-la-serre-rouge-2016	2	Propriétaire/Domaine	Col de la Serre		
col-de-la-serre-rouge-2016	3	Millésime	2016		
col-de-la-serre-rouge-2016	4	Région	Languedoc-Roussillon		
col-de-la-serre-rouge-2016	5	Pays	France		
col-de-la-serre-rouge-2016	6	Type	Vin		
col-de-la-serre-rouge-2016	7	Couleur	Rouge		
col-de-la-serre-rouge-2016	8	Contenance (cl)	75 cl		
col-de-la-serre-rouge-2016	9	Degré d'alcool	13%		
col-de-la-serre-rouge-2016	10	Appellation	Saint-Chinian		
col-de-la-serre-rouge-2016	11	Producteur	Cave de Roquebrun		
schiste-rose-2016	1	Cépages	Gamay, Pinot noir		
schiste-rose-2016	2	Propriétaire/Domaine	Schistes rosé		
schiste-rose-2016	3	Millésime	2016		
schiste-rose-2016	4	Région	Val de Loire		
schiste-rose-2016	5	Pays	France		
schiste-rose-2016	6	Type	Vin		
schiste-rose-2016	7	Couleur	Rosé		
schiste-rose-2016	8	Contenance (cl)	75 cl		
schiste-rose-2016	9	Degré d'alcool	12,5°		
schiste-rose-2016	10	Appellation	Val de Loire		
schiste-rose-2016	11	Producteur	Jean Mourat		
domaine-pelaquie-15	1	Cépages	Grenache, Syrah, Mourvèdre		
domaine-pelaquie-15	2	Propriétaire/Domaine	Domaine Pélaquié		
domaine-pelaquie-15	3	Millésime	2015		
domaine-pelaquie-15	4	Région	Vallée du Rhône		
domaine-pelaquie-15	5	Pays	France		
domaine-pelaquie-15	6	Type	Vin		
domaine-pelaquie-15	7	Couleur	Rouge		
domaine-pelaquie-15	8	Contenance (cl)	75 cl		
domaine-pelaquie-15	9	Degré d'alcool	14.5%		
domaine-pelaquie-15	10	Appellation	Côtes du Rhône Villages		
arnaud-aucoeur-chapelle-des-bois-rdf-2015	1	Cépages	Gamay		
arnaud-aucoeur-chapelle-des-bois-rdf-2015	2	Propriétaire/Domaine	Vignoble Aucoeur		
arnaud-aucoeur-chapelle-des-bois-rdf-2015	3	Millésime	2015		
arnaud-aucoeur-chapelle-des-bois-rdf-2015	4	Région	Beaujolais		
