	#	#	#	#	https://www.millesima.fr/	
catalogue	#	#	#	#	https://www.millesima.fr/catalogue	
selection-94-plus-alsace	Sélection 94+ Alsace	31	 Retrouvez tous les vins ayant obtenu la note de 94 et plus par Robert Parker et/ou le Wine Spectator. Ces deux systèmes de notation sont devenus une référence pour l'évaluation de la qualité des vins dans l'industrie vitivinicole. Les vins sont notés sur un total de 100 points en fonction de leur qualité de production et de leur typicité. Selon ce système, les vins ayant obtenus une note entre 90 et 94 sont dits "exceptionnels", et ceux au-delà de 95 sont considérés comme extraordinaires ou "vins classiques".	||accueil|||tous nos vins|||sélection 94+|	https://www.millesima.fr/selection-94-plus-alsace.html	
ConfirmationInscriptionNewsletterView?catalogId=10554&langId=-2&storeId=11652&urlLangId=-2	#	#	#	#	https://www.millesima.fr/ConfirmationInscriptionNewsletterView?catalogId=10554&langId=-2&storeId=11652&urlLangId=-2	
selection-90-plus-sud-ouest	Sélection 90+ Sud-Ouest	1	 Vous retrouverez dans cette section les vins ayant obtenu la note de 90 et plus par Robert Parker et/ou le Wine Spectator. Ces deux systèmes de notation sont devenus une référence pour l'évaluation de la qualité des vins dans l'industrie vitivinicole. Les vins sont notés sur un total de 100 points sur leur qualité de production et leur typicité (dans quelle mesure les caractéristiques de tel vin sont-elles le reflets de la région dont il provient). Selon ce système, les vins ayant obtenus une note entre 90 et 94 sont dits "exceptionnels", et ceux au-delà de 95 sont considérés comme extraordinaires ou "vins classiques".	||accueil|||tous nos vins|||sélection 90+|	https://www.millesima.fr/selection-90-plus-sud-ouest.html	
summer-rose	#	#	#	#	https://www.millesima.fr/summer-rose	
selection-90-plus-vallee-du-rhone	Sélection 90+ Vallée du Rhône	309	 Vous retrouverez dans cette section les vins ayant obtenu la note de 90 et plus par Robert Parker et/ou le Wine Spectator. Ces deux systèmes de notation sont devenus une référence pour l'évaluation de la qualité des vins dans l'industrie vitivinicole. Les vins sont notés sur un total de 100 points sur leur qualité de production et leur typicité (dans quelle mesure les caractéristiques de tel vin sont-elles le reflets de la région dont il provient). Selon ce système, les vins ayant obtenus une note entre 90 et 94 sont dits "exceptionnels", et ceux au-delà de 95 sont considérés comme extraordinaires ou "vins classiques".	||accueil|||tous nos vins|||sélection 90+|	https://www.millesima.fr/selection-90-plus-vallee-du-rhone.html	
UserRegistrationForm?myAcctMain=1&catalogId=10554&langId=-2&storeId=11652&registerNew=Y	#	#	#	#	https://www.millesima.fr/UserRegistrationForm?myAcctMain=1&catalogId=10554&langId=-2&storeId=11652&registerNew=Y	
AdvancedSearchDisplay?catalogId=10554&langId=-2&storeId=11652	#	#	#	#	https://www.millesima.fr/tous-nos-primeurs/AdvancedSearchDisplay?catalogId=10554&langId=-2&storeId=11652	
bourgogne	Bourgogne	2	#	||accueil|	https://www.millesima.fr/bourgogne	
italie	Italie	689	 L' Italie compte parmi les principaux pays producteurs, consommateurs et exportateurs de vin au monde. Avec ses 533 appellations (DOCG, DOC et IGT confondus) réparties sur près de 690 000 hectares , la superficie de son vignoble avoisine 9% de celle du vignoble mondial . Les appellations sont réparties sur l'ensemble du territoire, du Nord au Sud, de l'Est à l'Ouest, comme par exemple les iconiques Piémont ou Toscane . On y retrouve plus de 400 cépages différents comme le Nebbiolo ou le Sangiovese pour ne citer qu'eux. La qualité des vins qui y sont produits a su faire de l'Italie une région incontournable et légendaire dans le paysage international du vin.	||accueil|	https://www.millesima.fr/italie	
