20683-chateau-jean-de-marceau-2015	1	Millésime	2015		
20683-chateau-jean-de-marceau-2015	2	Cépage	63% Merlot, 27% Cabernet-sauvignon, 10% Cabernet-franc		
20683-chateau-jean-de-marceau-2015	3	Goûts	Rouge Léger et fruité		
20683-chateau-jean-de-marceau-2015	4	Par Goûts	Fruité		
20683-chateau-jean-de-marceau-2015	5	A l'oeil	Robe brillante aux beaux reflets violines		
20683-chateau-jean-de-marceau-2015	6	Au nez	Nez riche de fruits noirs, d'épices		
20683-chateau-jean-de-marceau-2015	7	En bouche	Fruité, tanins fondus, bon équilibre, légères notes de vanille		
20683-chateau-jean-de-marceau-2015	8	Température de service	16-18°C		
20683-chateau-jean-de-marceau-2015	9	Service	En bouteille		
20683-chateau-jean-de-marceau-2015	10	Conservation	A boire et à garder		
20683-chateau-jean-de-marceau-2015	11	A boire à partir de	2016		
20683-chateau-jean-de-marceau-2015	12	Jusqu'à	2020		
20683-chateau-jean-de-marceau-2015	13	Accords mets-vin	Apéritif, Charcuterie, Viande rouge, Viande blanche, Volaille, Gibier, Barbecue, Fromage		
20683-chateau-jean-de-marceau-2015	14	Accords recommandés	Charcuteries et terrines, viandes mijotées et grillées et fromages!		
18198-chateau-bellevue-favereau-2012	1	Millésime	2012		
108-champagne-veuve-clicquot-brut-carte-jaune-en-etui	1	Type champagne	Brut		
108-champagne-veuve-clicquot-brut-carte-jaune-en-etui	2	Cépage	50% Pinot noir, 35% Chardonnay, 15% Pinot meunier		
108-champagne-veuve-clicquot-brut-carte-jaune-en-etui	3	Goûts	Vin Effervescent		
108-champagne-veuve-clicquot-brut-carte-jaune-en-etui	4	A l'oeil	Robe jaune dorée		
108-champagne-veuve-clicquot-brut-carte-jaune-en-etui	5	Au nez	Notes fruitées complétées par des notes de brioche et de vanille		
108-champagne-veuve-clicquot-brut-carte-jaune-en-etui	6	En bouche	Équilibre optimal entre finesse et puissance		
108-champagne-veuve-clicquot-brut-carte-jaune-en-etui	7	Température de service	7-9°C		
108-champagne-veuve-clicquot-brut-carte-jaune-en-etui	8	Service	En bouteille		
108-champagne-veuve-clicquot-brut-carte-jaune-en-etui	9	Conservation	A boire dans les 2 ans		
108-champagne-veuve-clicquot-brut-carte-jaune-en-etui	10	Accords mets-vin	Apéritif, Poisson, Coquillage & Crustacé, Volaille, Dessert fruité		
108-champagne-veuve-clicquot-brut-carte-jaune-en-etui	11	Accords recommandés	Filet de dorade en papillote, Volaille rôtie, Gratin de fruits		
26200-chateauneuf-du-pape-blanc-2014-xavier-vignon	1	Millésime	2014		
